VocabKanji	VocabFurigana	NoteID	ImageFile	SourceFile	Action	Slot	SentType	SentKanji	SentFurigana	SentDefSC	SentDefTC	AudioFile	UpdatedAt	Notes
足りる	たりる	0b834814-2ed7-11ef-a183-99ad05e145f0	_vocab-tariru.png	足りる.png	insert	1		時間が足りなくなりました。	時間[じかん]が <b>足[た]りなく</b>なりました。	时间不够了。	時間不夠了。	voicepeak-custom-d0b2910829.mp3	2026-06-22	front-side visual hint
仲	なか	0bb1e002-2ed7-11ef-a183-99ad05e145f0	_vocab-naka.png	仲.png	reuse-slot	1		二人は仲がいい	二人[ふたり]は<b> 仲[なか]</b>がいい	他们俩感情很好	他們倆感情很好	voicepeak-custom-529c96bcda.mp3	2026-06-22	front-side visual hint
挙げる	あげる	0b773b78-2ed7-11ef-a183-99ad05e145f0	_vocab-ageru.png	挙げる.png	insert	1		人ごみの中で、彼女は高く手を挙げました。	人[ひと]ごみの 中[なか]で、 彼女[かのじょ]は 高[たか]く 手[て]を <b>挙[あ]げました</b>。	在人群中，她高高地举起了手。	在人群中，她高高地舉起了手。	voicepeak-custom-92bf3cebe2.mp3	2026-06-22	front-side visual hint
豊作	ほうさく	0c443876-2ed7-11ef-a183-99ad05e145f0	_vocab-housaku.png	豊作.png	insert	1		今年は小麦が豊作です。	今年[ことし]は 小麦[こむぎ]が <b>豊作[ほうさく]</b>です。	今年小麦丰收。	今年小麥豐收。	voicepeak-custom-f0d8a56a70.mp3	2026-06-22	front-side visual hint
すぐ	すぐ	0b4c4ce2-2ed7-11ef-a183-99ad05e145f0	_vocab-sugu.png	すぐ.png	insert	1		危険に遭ったとき、お守りはすぐに彼女を守ってくれます。	危険[きけん]に 遭[あ]ったとき、お 守[まも]りは<b>すぐ</b>に 彼女[かのじょ]を 守[まも]ってくれます。	遇到危险时，护身符会立刻保护她。	遇到危險時，護身符會立刻保護她。	voicepeak-custom-e51c5dae40.mp3	2026-06-22	front-side visual hint
素敵	すてき	0baf6c1e-2ed7-11ef-a183-99ad05e145f0	_vocab-suteki.png	素敵.png	insert	1		彼はこの素敵な服がとても好きですが、そうは言いません。	彼[かれ]はこの<b>素敵[すてき]</b>な 服[ふく]がとても 好[す]きですが、そうは 言[い]いません。	他很喜欢这件漂亮的衣服，但他不会那样说。	他很喜歡這件漂亮的衣服，但他不會那樣說。	voicepeak-custom-f5d2139686.mp3	2026-06-22	front-side visual hint
要る	いる	0b8c6dcc-2ed7-11ef-a183-99ad05e145f0	_vocab-iru.png	要る.png	insert	1		彼がここを出るには、人間に化けられる証拠が要ります。	彼[かれ]がここを 出[で]るには、 人間[にんげん]に 化[ば]けられる 証拠[しょうこ]が<b>要[い]ります</b>。	他要离开这里，需要能够变成人类的证据。	他要離開這裡，需要能夠變成人類的證據。	voicepeak-custom-8dc3e13181.mp3	2026-06-22	front-side visual hint
渋滞	じゅうたい	0b7f0858-2ed7-11ef-a183-99ad05e145f0	_vocab-juutai.png	渋滞.png	insert	1		渋滞しているとき、彼はいつも「空を飛べたらいいのに」と思います。	<b>渋滞[じゅうたい]</b>しているとき、 彼[かれ]はいつも「空[そら]を 飛[と]べたらいいのに」と 思[おも]います。	堵车的时候，他总是想：“要是能在天上飞就好了。”	塞車的時候，他總是想：「要是能在天上飛就好了。」	voicepeak-custom-d9b6a08484.mp3	2026-06-24	front-side visual hint
しばらく	しばらく	0b6cf8c0-2ed7-11ef-a183-99ad05e145f0	_vocab-shibaraku.png	しばらく.png	insert	1		彼女はしばらく彼に会っていません。	彼女[かのじょ]は<b>しばらく</b> 彼[かれ]に 会[あ]っていません。	她有一阵子没有见他了。	她有一陣子沒有見他了。	voicepeak-custom-ae617812cf.mp3	2026-06-24	front-side visual hint
くれる	くれる	0b6b96a6-2ed7-11ef-a183-99ad05e145f0	_vocab-kureru.png	くれる.png	insert	1		彼女が助けてくれたので、彼はずっと彼女の親切を覚えています。	彼女[かのじょ]が 助[たす]けて<b>くれた</b>ので、 彼[かれ]はずっと 彼女[かのじょ]の 親切[しんせつ]を 覚[おぼ]えています。	因为她帮助了他，他一直记得她的亲切。	因為她幫助了他，他一直記得她的親切。	voicepeak-custom-29bd5710f5.mp3	2026-06-24	front-side visual hint
案内	あんない	0b726616-2ed7-11ef-a183-99ad05e145f0	_vocab-annai.png	案内.png	insert	1		彼女がここに来たばかりのころ、案内してくれたのは彼でした。	彼女[かのじょ]がここに 来[き]たばかりのころ、<b>案内[あんない]</b>してくれたのは 彼[かれ]でした。	她刚来到这里的时候，给她带路的是他。	她剛來到這裡的時候，給她帶路的是他。	voicepeak-custom-94d6e3fb14.mp3	2026-06-24	front-side visual hint
ほとんど	ほとんど	0b710460-2ed7-11ef-a183-99ad05e145f0	_vocab-hotondo.png	ほとんど.png	insert	1		彼らはほとんど一日中一緒にいます。	彼[かれ]らは<b>ほとんど</b> 一日中[いちにちじゅう] 一緒[いっしょ]にいます。	他们几乎一整天都在一起。	他們幾乎一整天都在一起。	voicepeak-custom-c83f9e6cbd.mp3	2026-06-24	front-side visual hint
入れる	いれる	0b62d142-2ed7-11ef-a183-99ad05e145f0	_vocab-ireru.png	入れる.png	insert	1		彼は剣をかばんに入れてみました。	彼[かれ]は 剣[けん]をかばんに<b>入[い]れて</b>みました。	他试着把剑放进包里。	他試著把劍放進包裡。	voicepeak-custom-715a16e769.mp3	2026-06-24	front-side visual hint
引っ越し	ひっこし	0b72f9be-2ed7-11ef-a183-99ad05e145f0	_vocab-hikkoshi.png	引っ越し.png	insert	1		彼は来月、隣に引っ越します。	彼[かれ]は 来月[らいげつ]、 隣[となり]に<b>引[ひ]っ 越[こ]します</b>。	他下个月会搬到隔壁。	他下個月會搬到隔壁。	voicepeak-custom-d57ff0536f.mp3	2026-06-24	front-side visual hint
防ぐ	ふせぐ	0bb9da82-2ed7-11ef-a183-99ad05e145f0	_vocab-fusegu.png	防ぐ.png	insert	1		彼は剣で攻撃を防ぐことができます。	彼[かれ]は 剣[けん]で 攻撃[こうげき]を<b>防[ふせ]ぐ</b>ことができます。	他可以用剑挡住攻击。	他可以用劍擋住攻擊。	voicepeak-custom-feb915c78d.mp3	2026-06-24	front-side visual hint
それで	それで	0b6e201a-2ed7-11ef-a183-99ad05e145f0	_vocab-sorede.png	それで.png	insert	1		彼は長く眠ると言いました。それで、彼女はその場を離れました。	彼[かれ]は 長[なが]く 眠[ねむ]ると 言[い]いました。<b>それで</b>、 彼女[かのじょ]はその 場[ば]を 離[はな]れました。	他说会睡很久。于是，她离开了那里。	他說會睡很久。於是，她離開了那裡。	voicepeak-custom-2e3df04140.mp3	2026-06-24	front-side visual hint
通う	かよう	0b855d02-2ed7-11ef-a183-99ad05e145f0	_vocab-kayou.png	通う.png	insert	1		彼女を拾う前は、彼は毎日三回、平原に通っていました。	彼女[かのじょ]を 拾[ひろ]う 前[まえ]は、 彼[かれ]は 毎日[まいにち] 三回[さんかい]、 平原[へいげん]に<b>通[かよ]って</b>いました。	在捡到她之前，他每天三次去平原。	在撿到她之前，他每天三次去平原。	voicepeak-custom-5e7cce1e2b.mp3	2026-06-24	front-side visual hint
届ける	とどける	0b874234-2ed7-11ef-a183-99ad05e145f0	_vocab-todokeru.png	届ける.png	insert	1		彼女は手紙を彼に届けました。	彼女[かのじょ]は 手紙[てがみ]を 彼[かれ]に<b>届[とど]けました</b>。	她把信送给了他。	她把信送給了他。	voicepeak-custom-009b53ac04.mp3	2026-06-24	front-side visual hint
どうか	どうか	0b93f876-2ed7-11ef-a183-99ad05e145f0	_vocab-douka.png	どうか.png	insert	1		彼は大声で叫びました。「どうか助けてください！」	彼[かれ]は 大声[おおごえ]で 叫[さけ]びました。「<b>どうか</b> 助[たす]けてください！」	他大声喊道：“请救救我！”	他大聲喊道：「請救救我！」	voicepeak-custom-a187de279e.mp3	2026-06-24	front-side visual hint
しっかり	しっかり	0b6cef24-2ed7-11ef-a183-99ad05e145f0	_vocab-shikkari.png	しっかり.png	insert	1		彼の先生はいつも「しっかり勉強しなさい」と言います。	彼[かれ]の 先生[せんせい]はいつも「<b>しっかり</b> 勉強[べんきょう]しなさい」と 言[い]います。	他的老师总是说：“要好好学习。”	他的老師總是說：「要好好學習。」	voicepeak-custom-35302f69fe.mp3	2026-06-27	front-side visual hint
守る	まもる	0b5ac88a-2ed7-11ef-a183-99ad05e145f0	_vocab-mamoru.png	守る.png	insert	1		彼は彼女を守るために、自分の剣を折りました。	彼[かれ]は 彼女[かのじょ]を<b>守[まも]る</b>ために、 自分[じぶん]の 剣[けん]を 折[お]りました。	他为了保护她，折断了自己的剑。	他為了保護她，折斷了自己的劍。	voicepeak-custom-bc18a9dd7b.mp3	2026-06-25	front-side visual hint
迷惑	めいわく	0b8b59c8-2ed7-11ef-a183-99ad05e145f0	_vocab-meiwaku.png	迷惑.png	insert	1		彼の幼稚な行動は、王に迷惑をかけました。	彼[かれ]の 幼稚[ようち]な 行動[こうどう]は、 王[おう]に<b>迷惑[めいわく]</b>をかけました。	他幼稚的行为给国王添了麻烦。	他幼稚的行為給國王添了麻煩。	voicepeak-custom-a0c379fadc.mp3	2026-06-25	front-side visual hint
美しい	うつくしい	0b88a994-2ed7-11ef-a183-99ad05e145f0	_vocab-utsukushii.png	美しい.png	insert	1		彼女は、美しい夜景のある町から来たと言いました。	彼女[かのじょ]は、<b>美[うつく]しい</b> 夜景[やけい]のある 町[まち]から 来[き]たと 言[い]いました。	她说她来自一个有美丽夜景的城市。	她說她來自一個有美麗夜景的城市。	voicepeak-custom-16703f47fa.mp3	2026-06-25	front-side visual hint
乱暴	らんぼう	0be60706-2ed7-11ef-a183-99ad05e145f0	_vocab-ranbou.png	乱暴.png	insert	1		彼は「そんな乱暴な言い方をしてはいけません」と言いました。	彼[かれ]は「そんな<b>乱暴[らんぼう]</b>な 言[い]い 方[かた]をしてはいけません」と 言[い]いました。	他说：“不能用那种粗暴的说法。”	他說：「不能用那種粗暴的說法。」	voicepeak-custom-bdf3215e05.mp3	2026-06-25	front-side visual hint
きちんと	きちんと	0b8fb0f4-2ed7-11ef-a183-99ad05e145f0	_vocab-kichinto.png	きちんと.png	insert	1		彼は花をきちんと植えました。	彼[かれ]は 花[はな]を<b>きちんと</b> 植[う]えました。	他把花整齐地种好了。	他把花整齊地種好了。	voicepeak-custom-fc8f4a1453.mp3	2026-06-25	front-side visual hint
まとめる	まとめる	0b96b4da-2ed7-11ef-a183-99ad05e145f0	_vocab-matomeru.png	まとめる.png	insert	1		彼は観察した内容をノートにまとめました。	彼[かれ]は 観察[かんさつ]した 内容[ないよう]をノートに<b>まとめました</b>。	他把观察到的内容整理到了笔记里。	他把觀察到的內容整理到了筆記裡。	voicepeak-custom-e2590b87ee.mp3	2026-06-25	front-side visual hint
行う	おこなう	0b7adae4-2ed7-11ef-a183-99ad05e145f0	_vocab-okonau.png	行う.png	insert	1		来週、町でお祭りが行われます。	来週[らいしゅう]、 町[まち]でお 祭[まつ]りが<b>行[おこな]われます</b>。	下周镇上将举行祭典。	下週鎮上將舉行祭典。	voicepeak-custom-f317f96ec5.mp3	2026-06-25	front-side visual hint
宣伝	せんでん	0baefc5c-2ed7-11ef-a183-99ad05e145f0	_vocab-senden.png	宣伝.png	insert	1		彼は自分の人間のサンプルを宣伝するために、一つの町を滅ぼしました。	彼[かれ]は 自分[じぶん]の 人間[にんげん]のサンプルを<b>宣伝[せんでん]</b>するために、 一[ひと]つの 町[まち]を 滅[ほろ]ぼしました。	他为了宣传自己的人类样本，毁灭了一座城镇。	他為了宣傳自己的人類樣本，毀滅了一座城鎮。	voicepeak-custom-a0ab9bae13.mp3	2026-06-25	front-side visual hint
丁寧	ていねい	0b60f20a-2ed7-11ef-a183-99ad05e145f0	_vocab-teinei.png	丁寧.png	insert	1		彼はいつも丁寧に話します。	彼[かれ]はいつも<b>丁寧[ていねい]</b>に 話[はな]します。	他说话总是很礼貌。	他說話總是很有禮貌。	voicepeak-custom-f0844d4343.mp3	2026-06-25	front-side visual hint
回す	まわす	0bc90d04-2ed7-11ef-a183-99ad05e145f0	_vocab-mawasu.png	回す.png	insert	1		初めて運転したとき、彼はハンドルを乱暴に回して、壁にぶつかりそうになりました。	初[はじ]めて 運転[うんてん]したとき、 彼[かれ]はハンドルを 乱暴[らんぼう]に<b>回[まわ]して</b>、 壁[かべ]にぶつかりそうになりました。	第一次开车时，他粗暴地转动方向盘，差点撞到墙。	第一次開車時，他粗暴地轉動方向盤，差點撞到牆。	voicepeak-custom-d84319ffaf.mp3	2026-06-25	front-side visual hint
提出	ていしゅつ	0bb34064-2ed7-11ef-a183-99ad05e145f0	_vocab-teishutsu.png	提出.png	insert	1		明日、企画書を提出しなければならないので、彼は一晩中寝ませんでした。	明日[あした]、 企画書[きかくしょ]を<b>提出[ていしゅつ]</b>しなければならないので、 彼[かれ]は 一晩中[ひとばんじゅう] 寝[ね]ませんでした。	因为明天必须提交企划书，所以他一整晚都没有睡。	因為明天必須提交企劃書，所以他一整晚都沒有睡。	voicepeak-custom-7a8b61baa3.mp3	2026-06-26	front-side visual hint
引く	ひく	0b51ef08-2ed7-11ef-a183-99ad05e145f0	_vocab-hiku.png	引く.png	insert	1		綱引きでは、力いっぱい綱を引く必要があります。	綱引[つなひ]きでは、 力[ちから]いっぱい 綱[つな]を<b>引[ひ]く</b> 必要[ひつよう]があります。	拔河时，需要用尽全力拉绳子。	拔河時，需要用盡全力拉繩子。	voicepeak-custom-ac832f0962.mp3	2026-06-27	front-side visual hint
泣く	なく	0b5595b8-2ed7-11ef-a183-99ad05e145f0	_vocab-naku.png	泣く.png	insert	1		彼女は悲しい映画を見たかのように、大きな声で泣いていました。	彼女[かのじょ]は 悲[かな]しい 映画[えいが]を 見[み]たかのように、 大[おお]きな 声[こえ]で<b>泣[な]いて</b>いました。	她像是看了悲伤的电影一样，放声哭着。	她像是看了悲傷的電影一樣，放聲哭著。	voicepeak-custom-34ed951b84.mp3	2026-06-27	front-side visual hint
預ける	あずける	0c151c44-2ed7-11ef-a183-99ad05e145f0	_vocab-azukeru.png	預ける.png	insert	1		彼はとても大切なものを彼女に預けました。	彼[かれ]はとても 大切[たいせつ]なものを 彼女[かのじょ]に<b>預[あず]けました</b>。	他把非常重要的东西托付给了她。	他把非常重要的東西託付給了她。	voicepeak-custom-116b4a8a07.mp3	2026-06-27	front-side visual hint
以降	いこう	0b985d3a-2ed7-11ef-a183-99ad05e145f0	_vocab-ikou.png	以降.png	insert	1		昼の十二時以降、彼は昼寝をするかもしれません。	昼[ひる]の 十二時[じゅうにじ]<b>以降[いこう]</b>、 彼[かれ]は 昼寝[ひるね]をするかもしれません。	中午十二点以后，他可能会睡午觉。	中午十二點以後，他可能會睡午覺。	voicepeak-custom-5a905d6f5e.mp3	2026-06-27	front-side visual hint
読書	どくしょ	0b8739e2-2ed7-11ef-a183-99ad05e145f0	_vocab-dokusho.png	読書.png	insert	1		読書は彼の一番の趣味です。	<b>読書[どくしょ]</b>は 彼[かれ]の 一番[いちばん]の 趣味[しゅみ]です。	读书是他最大的爱好。	讀書是他最大的興趣。	voicepeak-custom-c4ceca942c.mp3	2026-06-27	front-side visual hint
聞こえる	きこえる	0b89d134-2ed7-11ef-a183-99ad05e145f0	_vocab-kikoeru.png	聞こえる.png	insert	1		ヘッドホンをすると、彼女には何も聞こえなくなりました。	ヘッドホンをすると、 彼女[かのじょ]には 何[なに]も <b>聞[き]こえ</b>なくなりました。	戴上耳机后，她什么都听不见了。	戴上耳機後，她什麼都聽不見了。	voicepeak-custom-7f18cdb97c.mp3	2026-06-27	front-side visual hint
落ちる	おちる	0b8c8eec-2ed7-11ef-a183-99ad05e145f0	_vocab-ochiru.png	落ちる.png	insert	1		彼は夜寝ているときに、ベッドから落ちました。	彼[かれ]は 夜[よる] 寝[ね]ているときに、ベッドから <b>落[お]ち</b>ました。	他晚上睡觉的时候从床上掉了下来。	他晚上睡覺的時候從床上掉了下來。	voicepeak-custom-08667a0256.mp3	2026-06-27	front-side visual hint
下げる	さげる	0b74101a-2ed7-11ef-a183-99ad05e145f0	_vocab-sageru.png	下げる.png	insert	1		声を下げて話してください。	声[こえ]を <b>下[さ]げて</b> 話[はな]してください。	请放低声音说话。	請放低聲音說話。	voicepeak-custom-c5275914d6.mp3	2026-06-27	front-side visual hint
はく	はく	0b4f949c-2ed7-11ef-a183-99ad05e145f0	_vocab-haku.png	履く.png	insert	1		昨日うっかりズボンの股の部分を破ってしまったので、今日は新しいズボンをはいています。	昨日[きのう]うっかりズボンの 股[また]の 部分[ぶぶん]を 破[やぶ]ってしまったので、 今日[きょう]は 新[あたら]しいズボンを<b>はいて</b>います。	昨天不小心把裤裆的部分弄破了，所以今天穿着新的裤子。	昨天不小心把褲襠的部分弄破了，所以今天穿著新的褲子。	voicepeak-custom-132f1a6363.mp3	2026-06-27	front-side visual hint
謝る	あやまる	0ba830de-2ed7-11ef-a183-99ad05e145f0	_vocab-ayamaru.png	謝る.png	insert	1		彼は頭を下げて謝りました。	彼[かれ]は 頭[あたま]を 下[さ]げて <b>謝[あやま]りました</b>。	他低头道歉了。	他低頭道歉了。	voicepeak-custom-7a7d14929e.mp3	2026-06-27	front-side visual hint
そろう	そろう	0b92ca8c-2ed7-11ef-a183-99ad05e145f0	_vocab-sorou.png	そろう.png	insert	1		本がきれいにそろっています。	本[ほん]がきれいに<b>そろって</b>います。	书整齐地排列着。	書整齊地排列著。	voicepeak-custom-14b5b8a401.mp3	2026-06-27	front-side visual hint
汚す	よごす	0bc79fb4-2ed7-11ef-a183-99ad05e145f0	_vocab-yogosu.png	汚す.png	insert	1		彼女はシャツを汚しました。	彼女[かのじょ]はシャツを <b>汚[よご]しました</b>。	她把衬衫弄脏了。	她把襯衫弄髒了。	voicepeak-custom-61e9c59248.mp3	2026-06-27	front-side visual hint
同じ	おなじ	0b621af4-2ed7-11ef-a183-99ad05e145f0	_vocab-onaji.png	同じ.png	insert	1		彼は「私たちは同じような人間ですね」と言いました。	彼[かれ]は「 私[わたし]たちは<b> 同[おな]じ</b>ような 人間[にんげん]ですね」と 言[い]いました。	他说：“我们是很相似的人呢。”	他說：「我們是很相似的人呢。」	voicepeak-custom-08638a1cef.mp3	2026-06-27	front-side visual hint
効く	きく	0ba3622a-2ed7-11ef-a183-99ad05e145f0	_vocab-kiku.png	効く.png	reuse-slot	1		この薬はあまりよく効かないよ	この 薬[くすり]はあまりよく<b> 効[き]か</b>ないよ	这个药没什么效果哦	這個藥沒什麼效果哦	voicepeak-d046a39f79c34eda-260124.mp3	2026-06-27	front-side visual hint
慣れる	なれる	0b7559b6-2ed7-11ef-a183-99ad05e145f0	_vocab-nareru.png	慣れる.png	insert	1		彼はまだ彼女のいない生活に慣れていません。	彼[かれ]はまだ 彼女[かのじょ]のいない 生活[せいかつ]に <b>慣[な]れて</b>いません。	他还没有习惯没有她的生活。	他還沒有習慣沒有她的生活。	voicepeak-custom-dfb33fb81d.mp3	2026-06-27	front-side visual hint
付ける	つける	0b641066-2ed7-11ef-a183-99ad05e145f0	_vocab-tsukeru.png	付ける.png	insert	1		彼は自分の部下を壁にくくり付けました。	彼[かれ]は 自分[じぶん]の 部下[ぶか]を 壁[かべ]にくくり<b>付[つ]けました</b>。	他把自己的部下绑在了墙上。	他把自己的部下綁在了牆上。	voicepeak-custom-6938fcb24a.mp3	2026-06-27	front-side visual hint
屋上	おくじょう	0b73e69e-2ed7-11ef-a183-99ad05e145f0	_vocab-okujou.png	屋上.png	insert	1		彼女は屋上に花をたくさん植えました。	彼女[かのじょ]は <b>屋上[おくじょう]</b>に 花[はな]をたくさん 植[う]えました。	她在屋顶上种了很多花。	她在屋頂上種了很多花。	voicepeak-custom-8818b06cea.mp3	2026-06-27	front-side visual hint
痩せる	やせる	0b82e590-2ed7-11ef-a183-99ad05e145f0	_vocab-yaseru.png	痩せる.png	reuse-slot	1		運動して70キロから60キロに痩せた	運動[うんどう]して70キロから60キロに<b> 痩[や]せ</b>た	通过运动从70公斤瘦到了60公斤	透過運動從70公斤瘦到了60公斤	voicepeak-22-運動して70キロから60キロに痩せた-260123.mp3	2026-06-27	front-side visual hint
